Case, sub_main/2-5_2,,,
,,,,
Drag [N], 4.132,,,
Drag Area [m2], 1.079,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.086, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FR motor, 0.032, 1,,
BR motor, 0.032, 1,,
FR rotor, 0.001, 1,,
BR rotor, 0.001, 1,,
FR arm, 0.015, 0.541,,
BR arm, 0.015, 0.541,,
main body, 2.205, 1,,
main body top, 1.158, 1,,
battery, 0.583, 1,,
FL arm, 0.015, 0.879,,
BL arm, 0.015, 0.879,,
FL motor, 0.03, 0.903,,
BL motor, 0.03, 0.903,,
FL rotor, 0.001, 0.903,,
BL rotor, 0.001, 0.903,,
