Case, sub_main/5_0,,,
,,,,
Drag [N], 10.974,,,
Drag Area [m2], 0.717,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.031, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FL motor, 0.128, 1,,
FR motor, 0.128, 1,,
FL rotor, 0.003, 1,,
FR rotor, 0.003, 1,,
FL arm, 0.318, 0.85,,
FR arm, 0.318, 0.85,,
main body, 5.249, 1,,
main body top, 2.756, 1,,
battery, 1.307, 1,,
BL motor, 0.119, 0.897,,
BR motor, 0.119, 0.897,,
BL rotor, 0.003, 0.897,,
BR rotor, 0.003, 0.897,,
BL arm, 0.259, 0.657,,
BR arm, 0.259, 0.657,,
