Case, sub_main/11-1_2,,,
,,,,
Drag [N], 81.462,,,
Drag Area [m2], 1.079,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.086, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FR motor, 0.633, 1,,
BR motor, 0.633, 1,,
FR rotor, 0.017, 1,,
BR rotor, 0.017, 1,,
FR arm, 0.294, 0.541,,
BR arm, 0.294, 0.541,,
main body, 43.461, 1,,
main body top, 22.821, 1,,
battery, 11.485, 1,,
FL arm, 0.3, 0.879,,
BL arm, 0.3, 0.879,,
FL motor, 0.588, 0.903,,
BL motor, 0.588, 0.903,,
FL rotor, 0.017, 0.903,,
BL rotor, 0.017, 0.903,,
