Case, sub_main/2-5_0,,,
,,,,
Drag [N], 2.744,,,
Drag Area [m2], 0.717,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.031, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FL motor, 0.032, 1,,
FR motor, 0.032, 1,,
FL rotor, 0.001, 1,,
FR rotor, 0.001, 1,,
FL arm, 0.079, 0.85,,
FR arm, 0.079, 0.85,,
main body, 1.312, 1,,
main body top, 0.689, 1,,
battery, 0.327, 1,,
BL motor, 0.03, 0.897,,
BR motor, 0.03, 0.897,,
BL rotor, 0.001, 0.897,,
BR rotor, 0.001, 0.897,,
BL arm, 0.065, 0.657,,
BR arm, 0.065, 0.657,,
