Case, sub_main/11-1_0,,,
,,,,
Drag [N], 54.085,,,
Drag Area [m2], 0.717,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.031, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FL motor, 0.633, 1,,
FR motor, 0.633, 1,,
FL rotor, 0.017, 1,,
FR rotor, 0.017, 1,,
FL arm, 1.567, 0.85,,
FR arm, 1.567, 0.85,,
main body, 25.87, 1,,
main body top, 13.584, 1,,
battery, 6.443, 1,,
BL motor, 0.585, 0.897,,
BR motor, 0.585, 0.897,,
BL rotor, 0.017, 0.897,,
BR rotor, 0.017, 0.897,,
BL arm, 1.276, 0.657,,
BR arm, 1.276, 0.657,,
