Case, quadcopter/2-5_0,,,
,,,,
Drag [N], 2.484,,,
Drag Area [m2], 0.649,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.049, 0.122, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
left front rotor, 0.059, 1,,
right front rotor, 0.059, 1,,
left front motor, 0.083, 1,,
right front motor, 0.083, 1,,
main body, 0.866, 1,,
left front arm, 0.202, 0.957,,
right front arm, 0.202, 0.957,,
head, 0.017, 0.933,,
torso, 0.17, 0.825,,
left upper arm, 0.041, 1,,
right upper arm, 0.041, 1,,
left lower arm, 0.037, 0.876,,
right lower arm, 0.037, 0.876,,
left back rotor, 0.059, 0.156,,
right back rotor, 0.059, 0.156,,
left back motor, 0.069, 0.773,,
right back motor, 0.069, 0.773,,
left back arm, 0.166, 0.752,,
right back arm, 0.166, 0.752,,
