Case, quadcopter/5_0,,,
,,,,
Drag [N], 9.934,,,
Drag Area [m2], 0.649,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.049, 0.122, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
left front rotor, 0.236, 1,,
right front rotor, 0.236, 1,,
left front motor, 0.331, 1,,
right front motor, 0.331, 1,,
main body, 3.464, 1,,
left front arm, 0.808, 0.957,,
right front arm, 0.808, 0.957,,
head, 0.066, 0.933,,
torso, 0.68, 0.825,,
left upper arm, 0.163, 1,,
right upper arm, 0.163, 1,,
left lower arm, 0.148, 0.876,,
right lower arm, 0.148, 0.876,,
left back rotor, 0.236, 0.156,,
right back rotor, 0.236, 0.156,,
left back motor, 0.277, 0.773,,
right back motor, 0.277, 0.773,,
left back arm, 0.664, 0.752,,
right back arm, 0.664, 0.752,,
