Case, quadcopter/5_2,,,
,,,,
Drag [N], 10.232,,,
Drag Area [m2], 0.668,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.042, 0.091, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
left front rotor, 0.236, 1,,
left back rotor, 0.236, 0.929,,
left front motor, 0.331, 1,,
left back motor, 0.331, 1,,
left front arm, 0.195, 0.532,,
left back arm, 0.195, 0.532,,
left upper arm, 0.263, 1,,
left lower arm, 0.239, 1,,
main body, 5.457, 0.988,,
torso, 0.899, 0.857,,
head, 0.066, 0.933,,
right front arm, 0.163, 0.235,,
right back arm, 0.163, 0.235,,
right upper arm, 0.214, 0.771,,
right lower arm, 0.195, 0.771,,
right front rotor, 0.236, 0.369,,
right back rotor, 0.236, 0.318,,
right front motor, 0.29, 0.825,,
right back motor, 0.29, 0.825,,
