Case, quadcopter/7-5_2,,,
,,,,
Drag [N], 23.022,,,
Drag Area [m2], 0.668,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.042, 0.091, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
left front rotor, 0.53, 1,,
left back rotor, 0.53, 0.929,,
left front motor, 0.744, 1,,
left back motor, 0.744, 1,,
left front arm, 0.438, 0.532,,
left back arm, 0.438, 0.532,,
left upper arm, 0.591, 1,,
left lower arm, 0.537, 1,,
main body, 12.278, 0.988,,
torso, 2.023, 0.857,,
head, 0.15, 0.933,,
right front arm, 0.367, 0.235,,
right back arm, 0.367, 0.235,,
right upper arm, 0.481, 0.771,,
right lower arm, 0.438, 0.771,,
right front rotor, 0.53, 0.369,,
right back rotor, 0.53, 0.318,,
right front motor, 0.651, 0.825,,
right back motor, 0.651, 0.825,,
