Case, quadcopter/0-1_1,,,
,,,,
Drag [N], 0.006,,,
Drag Area [m2], 1.029,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.049, 0.124, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
main body, 0.002, 1,,
left front motor, 0.0, 1,,
right front motor, 0.0, 1,,
left back motor, 0.0, 1,,
right back motor, 0.0, 1,,
left lower arm, 0.0, 0.324,,
right lower arm, 0.0, 0.324,,
left front arm, 0.001, 0.861,,
right front arm, 0.001, 0.861,,
left back arm, 0.001, 0.861,,
right back arm, 0.001, 0.861,,
head, 0.0, 0.066,,
torso, 0.0, 0.071,,
left upper arm, 0.0, 0.364,,
right upper arm, 0.0, 0.364,,
